,num_update,cramped_room,cramped_room_std,asymmetric_advantages,asymmetric_advantages_std,coordination_ring,coordination_ring_std,forced_coordination,forced_coordination_std,counter_circuit_o_1order,counter_circuit_o_1order_std
5,200,0.58,0.6954135460285483,0.46,0.5902541825349481,0.05,0.21794494717703367,0.0,0.0,0.0,0.0
16,400,3.5,1.0816653826391966,3.33,1.217004519301387,0.29,0.4958830507286975,0.0,0.0,0.0,0.0
23,600,5.68,0.9368030742904295,5.09,1.4635231463834113,1.58,0.8506468127254695,0.0,0.0,0.0,0.0
24,800,6.2,0.6164414002968976,6.78,1.6098447130080589,1.87,1.0164152694642088,0.06,0.23748684174075835,0.0,0.0
0,1000,6.0,0.7483314773547883,5.75,1.3219304066402287,1.22,0.8435638683585257,0.1,0.3,0.0,0.0
1,1200,6.01,0.9219002115196634,3.0,1.1832159566199232,2.74,0.9340235543068494,0.4,0.5291502622129182,0.0,0.0
2,1400,6.87,0.7301369734508724,3.16,1.0170545708072898,3.61,1.156676272774712,0.4,0.5099019513592785,0.0,0.0
3,1600,7.22,0.8316249154516716,3.14,1.0101485039339513,3.49,0.9746281342132496,0.24,0.4270831300812525,0.0,0.0
4,1800,5.41,0.7361385739111898,5.07,1.2349493916756265,3.85,0.7123903424387503,0.33,0.4910193478876367,0.0,0.0
6,2000,6.41,0.6495382975621992,4.62,1.2391932859727735,4.0,0.8246211251235321,0.59,0.6179805822192151,0.0,0.0
7,2200,6.68,0.8231646250902671,8.33,1.077543502602099,4.28,0.9282241108697835,0.39,0.5458021619598076,0.0,0.0
8,2400,6.62,0.7180529228406496,5.26,1.18,3.78,0.782048591840686,0.69,0.7442445834535849,0.0,0.0
9,2600,6.83,0.7218725649309579,10.22,1.2773409881468614,4.5,0.8185352771872451,1.43,0.6364746656387824,0.0,0.0
10,2800,7.19,0.6276145313805283,7.1,1.2609520212918492,4.21,0.7654410493303845,1.6,0.6633249580710799,0.0,0.0
11,3000,7.15,0.6383572667401851,5.51,1.1704272724095248,4.8,0.7071067811865475,2.03,0.7135124385741288,0.0,0.0
12,3200,7.1,0.6244997998398397,6.12,1.0609429767899874,5.03,0.6075360071633615,1.84,0.5607138307550474,0.0,0.0
13,3400,6.98,0.6477653896280658,5.71,1.1687172455303292,4.89,0.7196526940128829,2.21,0.7112664760833313,0.0,0.0
14,3600,6.86,0.824863625092051,3.6,1.1224972160321822,4.89,0.6307931515164064,2.13,0.743706931526122,0.0,0.0
15,3800,6.87,0.6581033353509159,10.08,1.1805083650698964,3.93,0.7649182962905254,1.71,0.6825686778632609,0.0,0.0
17,4000,7.25,0.653834841531101,5.82,1.1864231959971114,5.39,0.6766830868286868,2.02,0.5996665740225979,0.0,0.0
18,4200,7.03,0.5376802023508026,5.58,1.1329607230614838,4.84,0.7031358332498777,2.09,0.6941901756723441,0.0,0.0
19,4400,7.02,0.5996665740225979,9.18,1.0989085494252921,4.78,0.7011419257183242,1.99,0.6854925236645547,0.0,0.0
20,4600,7.5,0.5744562646538028,9.71,1.0610843510296437,3.85,0.82915619758885,2.39,0.6464518543557592,0.0,0.0
21,4800,7.22,0.5929586832149438,8.12,1.1600000000000001,4.82,0.8292164976651151,2.17,0.7078841713161836,0.0,0.0
22,5000,7.31,0.6114736298484179,5.98,1.1311940593903416,4.86,0.748598690888516,2.31,0.6587108622149782,0.0,0.0
